block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.323030,3833,1,64,1,65,0,64,1.538462,0.769231,1.025641,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.490303,4109,4,61,0,64,1,65,6.153846,0.769231,2.564103,
17,cube0,0.410909,678,1,0,0,1,0,0,100.000000,0.000000,50.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.608485,4304,65,0,65,1,64,0,100.000000,99.230766,99.487183,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.218182,3660,62,3,64,0,65,1,95.384613,99.230766,97.948715,
18,cube0,0.460606,760,1,0,0,1,0,0,100.000000,0.000000,50.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.438182,4023,1,64,0,64,1,65,1.538462,0.769231,1.025641,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.154546,3555,65,0,1,65,0,64,100.000000,0.769231,33.846153,
19,cube0,0.461212,761,1,0,0,1,0,0,100.000000,0.000000,50.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.635758,4349,65,0,64,0,65,1,100.000000,99.230766,99.487183,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.269697,3745,1,64,65,1,64,0,1.538462,99.230766,66.666664,
20,cube0,0.352121,581,1,0,1,0,0,0,100.000000,100.000000,100.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.527273,2520,1,64,1,64,1,64,1.538462,1.538462,1.538462,
20,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.509697,2491,1,64,1,64,1,64,1.538462,1.538462,1.538462,
21,cube0,0.289697,478,1,0,0,0,1,0,100.000000,100.000000,100.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.467879,2422,65,0,65,0,65,0,100.000000,100.000000,100.000000,
21,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.459394,2408,65,0,65,0,65,0,100.000000,100.000000,100.000000,
22,cube0,0.347879,574,1,0,1,0,0,0,100.000000,100.000000,100.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.563636,2580,1,64,1,64,1,64,1.538462,1.538462,1.538462,
22,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.544242,2548,1,64,1,64,1,64,1.538462,1.538462,1.538462,
23,cube0,0.290909,480,1,0,1,0,0,0,100.000000,100.000000,100.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.646061,2716,65,0,65,0,65,0,100.000000,100.000000,100.000000,
23,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.638182,2703,65,0,65,0,65,0,100.000000,100.000000,100.000000,
24,cube0,0.366667,605,1,0,0,0,1,0,100.000000,100.000000,100.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.493333,2464,1,64,1,64,1,64,1.538462,1.538462,1.538462,
24,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.513939,2498,1,64,1,64,1,64,1.538462,1.538462,1.538462,
25,cube0,0.321818,531,1,0,1,0,0,0,100.000000,100.000000,100.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.575758,2600,65,0,65,0,65,0,100.000000,100.000000,100.000000,
25,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.609697,2656,65,0,65,0,65,0,100.000000,100.000000,100.000000,
